Modelo,Temperatura,Categoria,Accuracy,F1-Score,Precision,Recall
gemma3_27b,0,Cobertura,1,1,1,1
gemma3_4b,0.5,Estrutura,1,1,1,1
gemma3_4b,0.5,Esquadrias,0,0,0,0
gemma3_4b,0.5,Piso,0.22,0.2185,0.2171,0.22
gemma3_4b,0.5,Forro,0.44,0.5909,0.8991,0.44
gemma3_4b,0.5,Instalação Elétrica,1,1,1,1
gemma3_4b,0.5,Instalação Sanitária,0.02,0.0392,1,0.02
gemma3_4b,0.5,Revestimento Interno,0.64,0.6643,0.6905,0.64
gemma3_4b,0.5,Acabamento Interno,0.9,0.8617,0.8265,0.9
gemma3_4b,0.5,Revestimento Externo,0,0,0,0
gemma3_4b,0.5,Acabamento Externo,0.02,0.0392,0.94,0.02
gemma3_4b,0.5,Cobertura,1,1,1,1
llava_13b,0,Estrutura,1,1,1,1
llava_13b,0,Esquadrias,0.9,0.8526,0.81,0.9
llava_13b,0,Piso,0.12,0.0257,0.0144,0.12
llava_13b,0,Forro,0,0,0,0
llava_13b,0,Instalação Elétrica,1,1,1,1
llava_13b,0,Instalação Sanitária,0,0,0,0
llava_13b,0,Revestimento Interno,0.04,0.0763,0.82,0.04
llava_13b,0,Acabamento Interno,0.02,0.0391,0.9,0.02
llava_13b,0,Revestimento Externo,0,0,0,0
llava_13b,0,Acabamento Externo,0,0,0,0
llava_13b,0,Cobertura,1,1,1,1
llava_7b,0,Estrutura,1,1,1,1
llava_7b,0,Esquadrias,0.9,0.8526,0.81,0.9
llava_7b,0,Piso,0.12,0.0257,0.0144,0.12
llava_7b,0,Forro,0,0,0,0
llava_7b,0,Instalação Elétrica,1,1,1,1
llava_7b,0,Instalação Sanitária,0,0,0,0
llava_7b,0,Revestimento Interno,0.82,0.7389,0.6724,0.82
llava_7b,0,Acabamento Interno,0.9,0.8526,0.81,0.9
llava_7b,0,Revestimento Externo,0.12,0.0257,0.0144,0.12
llava_7b,0,Acabamento Externo,0,0,0,0
llava_7b,0,Cobertura,1,1,1,1
qwen2.5_14b,0.5,Estrutura,1,1,1,1
qwen2.5_14b,0.5,Esquadrias,0.9,0.8526,0.81,0.9
qwen2.5_14b,0.5,Piso,0.44,0.2689,0.1936,0.44
qwen2.5_14b,0.5,Forro,0.94,0.9109,0.8836,0.94
qwen2.5_14b,0.5,Instalação Elétrica,0.08,0.1481,1,0.08
qwen2.5_14b,0.5,Instalação Sanitária,0,0,0,0
qwen2.5_14b,0.5,Revestimento Interno,0,0,0,0
qwen2.5_14b,0.5,Acabamento Interno,0.9,0.8526,0.81,0.9
qwen2.5_14b,0.5,Revestimento Externo,0.82,0.7569,0.7029,0.82
qwen2.5_14b,0.5,Acabamento Externo,0.02,0.0392,0.94,0.02
qwen2.5_14b,0.5,Cobertura,1,1,1,1
qwen2.5_32b,0.5,Estrutura,0.8,0.8889,1,0.8
qwen2.5_32b,0.5,Esquadrias,0.74,0.7655,0.7929,0.74
qwen2.5_32b,0.5,Piso,0.36,0.2475,0.1886,0.36
qwen2.5_32b,0.5,Forro,0.74,0.7995,0.8695,0.74
qwen2.5_32b,0.5,Instalação Elétrica,0.28,0.4375,1,0.28
qwen2.5_32b,0.5,Instalação Sanitária,0,0,0,0
qwen2.5_32b,0.5,Revestimento Interno,0.02,0.039,0.82,0.02
qwen2.5_32b,0.5,Acabamento Interno,0.7,0.759,0.8289,0.7
qwen2.5_32b,0.5,Revestimento Externo,0.68,0.6966,0.714,0.68
qwen2.5_32b,0.5,Acabamento Externo,0.06,0.1128,0.94,0.06
qwen2.5_32b,0.5,Cobertura,0.8,0.8889,1,0.8
qwen2.5_7b,0.5,Estrutura,0.98,0.9899,1,0.98
qwen2.5_7b,0.5,Esquadrias,0.88,0.8426,0.8082,0.88
qwen2.5_7b,0.5,Piso,0.42,0.2678,0.1966,0.42
qwen2.5_7b,0.5,Forro,0.38,0.5331,0.893,0.38
qwen2.5_7b,0.5,Instalação Elétrica,0.9,0.9474,1,0.9
qwen2.5_7b,0.5,Instalação Sanitária,0,0,0,0
qwen2.5_7b,0.5,Revestimento Interno,0.06,0.0996,0.848,0.06
qwen2.5_7b,0.5,Acabamento Interno,0.6,0.6923,0.8182,0.6
qwen2.5_7b,0.5,Revestimento Externo,0.16,0.2203,0.7289,0.16
qwen2.5_7b,0.5,Acabamento Externo,0.18,0.3021,0.94,0.18
qwen2.5_7b,0.5,Cobertura,0.46,0.6301,1,0.46
